51.18,38.38,25.35
92.53,63.24,38.00
124.32,78.88,43.92
148.38,88.52,46.63
166.91,94.25,48.07
180.94,97.56,48.71
191.07,99.73,49.01
198.69,100.89,49.13
204.28,101.56,49.17
208.49,101.88,49.18
211.65,102.02,49.18
214.07,102.09,49.18
215.92,102.12,49.18
217.32,102.14,49.18
218.39,102.15,49.18
219.15,102.15,49.18
219.65,102.15,49.18
220.05,102.15,49.18
220.41,102.15,49.18
220.64,102.15,49.18
220.82,102.15,49.18
220.92,102.15,49.18
220.97,102.15,49.18
221.00,102.15,49.18
221.02,102.15,49.18
221.04,102.15,49.18
221.05,102.15,49.18
221.06,102.15,49.18
221.06,102.15,49.18
221.06,102.15,49.18
221.06,102.15,49.18
221.06,102.15,49.18
221.06,102.15,49.18
221.06,102.15,49.18
221.06,102.15,49.18
221.06,102.15,49.18
221.06,102.15,49.18
221.06,102.15,49.18
221.06,102.15,49.18
221.06,102.15,49.18
221.06,102.15,49.18
221.06,102.15,49.18
221.06,102.15,49.18
221.06,102.15,49.18
221.06,102.15,49.18
221.06,102.15,49.18
221.06,102.15,49.18
221.06,102.15,49.18
221.06,102.15,49.18
221.06,102.15,49.18
221.06,102.15,49.18
221.06,102.15,49.18
221.06,102.15,49.18
221.06,102.15,49.18
221.06,102.15,49.18
221.06,102.15,49.18
221.06,102.15,49.18
221.06,102.15,49.18
221.06,102.15,49.18
221.06,102.15,49.18
221.06,102.15,49.18
221.06,102.15,49.18
221.06,102.15,49.18
221.06,102.15,49.18
221.06,102.15,49.18
221.06,102.15,49.18
221.06,102.15,49.18
221.06,102.15,49.18
221.06,102.15,49.18
221.06,102.15,49.18
221.06,102.15,49.18
221.06,102.15,49.18
221.06,102.15,49.18
221.06,102.15,49.18
221.06,102.15,49.18
221.06,102.15,49.18
221.06,102.15,49.18
221.06,102.15,49.18
221.06,102.15,49.18
221.06,102.15,49.18
221.06,102.15,49.18
221.06,102.15,49.18
221.06,102.15,49.18
221.06,102.15,49.18
221.06,102.15,49.18
221.06,102.15,49.18
221.06,102.15,49.18
221.06,102.15,49.18
221.06,102.15,49.18
221.06,102.15,49.18
221.06,102.15,49.18
221.06,102.15,49.18
221.06,102.15,49.18
221.06,102.15,49.18
221.06,102.15,49.18
221.06,102.15,49.18
221.06,102.15,49.18
221.06,102.15,49.18
221.06,102.15,49.18
221.06,102.15,49.18
