10.83,11.23,11.51,
22.48,23.04,22.21,
35.31,36.38,33.18,
47.56,47.40,44.18,
61.56,60.40,55.82,
76.01,73.22,66.82,
91.01,85.82,78.96,
106.21,98.75,90.56,
121.83,112.06,102.82,
138.03,125.58,115.41,
154.09,139.37,128.09,
171.07,153.72,141.37,
188.49,168.51,154.97,
206.22,183.43,169.45,
223.70,198.79,184.18,
241.42,214.39,199.59,
258.80,230.20,215.26,
276.30,245.93,230.29,
293.33,261.65,245.66,
309.73,277.74,260.89,
325.67,293.93,277.04,
341.40,310.04,293.20,
356.70,325.35,309.54,
371.47,340.10,325.72,
385.65,354.19,341.40,
398.96,368.14,356.72,
411.98,382.28,371.70,
423.89,395.92,386.41,
435.11,408.83,400.35,
445.40,421.28,413.50,
455.72,433.17,425.93,
465.05,444.37,438.04,
473.69,455.15,449.69,
481.56,465.23,460.15,
488.82,474.68,470.06,
495.92,483.59,479.50,
502.35,491.82,488.29,
508.59,499.71,496.17,
514.54,507.00,503.52,
519.84,513.84,510.14,
524.66,519.81,516.01,
529.30,525.38,521.23,
533.72,530.89,526.22,
537.62,536.02,531.13,
541.32,540.83,535.42,
544.61,545.20,539.48,
547.94,549.15,543.41,
551.14,552.74,547.66,
554.18,556.20,551.92,
556.65,559.64,555.98,
558.84,562.67,559.83,
560.88,565.61,563.60,
562.80,568.26,567.26,
564.49,570.81,570.57,
566.05,573.02,573.98,
567.50,574.87,577.35,
568.79,576.57,580.59,
570.01,578.10,583.55,
571.21,579.50,586.44,
572.31,580.73,588.89,
573.34,581.81,591.16,
574.33,582.71,593.33,
575.27,583.45,595.33,
576.00,584.20,597.18,
576.67,584.86,598.88,
577.21,585.41,600.50,
577.73,586.08,601.86,
578.27,586.76,603.14,
578.72,587.35,604.27,
579.21,587.90,605.20,
579.63,588.45,605.88,
580.03,588.88,606.60,
580.49,589.24,607.20,
580.93,589.53,607.76,
581.31,589.72,608.28,
581.64,589.92,608.78,
582.01,590.08,609.24,
582.37,590.23,609.60,
582.71,590.35,609.98,
583.06,590.43,610.32,
583.34,590.49,610.61,
583.57,590.58,610.92,
583.80,590.65,611.17,
583.90,590.74,611.37,
584.03,590.83,611.56,
584.15,590.91,611.74,
584.21,590.99,611.89,
584.28,591.06,612.07,
584.31,591.14,612.33,
584.33,591.23,612.53,
584.35,591.32,612.72,
584.36,591.40,612.89,
584.37,591.49,613.09,
584.37,591.57,613.26,
584.37,591.64,613.51,
584.37,591.73,613.77,
584.37,591.79,614.06,
584.37,591.85,614.26,
584.37,591.88,614.44,
584.37,591.90,614.59,
